# Edges Betweenness Centrality, Cumulative Propability
0.023819,0.793167
0.023939,0.793629
0.023952,0.794090
0.024383,0.794552
0.024417,0.795014
0.024776,0.795476
0.025363,0.795937
0.025376,0.796399
0.025420,0.796861
0.025445,0.797322
0.025457,0.797784
0.025545,0.798246
0.025666,0.798707
0.025821,0.799169
0.026250,0.799631
0.026744,0.800092
0.026845,0.800554
0.026922,0.801016
0.027497,0.801477
0.027500,0.801939
0.027678,0.802401
0.027756,0.802862
0.027929,0.803324
0.027985,0.803786
0.028209,0.804247
0.028378,0.804709
0.028386,0.805171
0.028494,0.805633
0.028496,0.806094
0.028569,0.806556
0.028695,0.807018
0.028699,0.807479
0.028752,0.807941
0.028871,0.808403
0.028898,0.808864
0.029025,0.809326
0.029134,0.809788
0.029225,0.810249
0.029287,0.810711
0.029367,0.811173
0.029404,0.811634
0.029495,0.812096
0.029556,0.812558
0.029565,0.813019
0.029585,0.813481
0.029956,0.813943
0.030120,0.814404
0.030157,0.814866
0.030162,0.815328
0.030212,0.815789
0.030270,0.816251
0.030277,0.816713
0.030285,0.817175
0.030293,0.817636
0.030326,0.818098
0.030426,0.818560
0.030773,0.819021
0.031021,0.819483
0.031057,0.819945
0.031195,0.820406
0.031270,0.820868
0.031401,0.821330
0.031454,0.821791
0.031545,0.822253
0.031730,0.822715
0.031766,0.823176
0.031773,0.823638
0.031815,0.824100
0.032041,0.824561
0.032063,0.825023
0.032119,0.825485
0.032194,0.825946
0.032478,0.826408
0.032545,0.826870
0.032613,0.827331
0.032636,0.827793
0.032652,0.828255
0.032716,0.828717
0.032720,0.829178
0.032970,0.829640
0.033067,0.830102
0.033163,0.830563
0.033171,0.831025
0.033420,0.831487
0.033493,0.831948
0.033503,0.832410
0.033511,0.832872
0.033746,0.833333
0.033892,0.833795
0.033893,0.834257
0.033952,0.834718
0.033975,0.835180
0.034132,0.835642
0.034362,0.836565
0.034619,0.837027
0.034852,0.837488
0.034947,0.837950
0.035005,0.838412
0.035092,0.838873
0.035278,0.839797
0.035411,0.840259
0.035484,0.840720
0.035543,0.841182
0.035581,0.841644
0.035583,0.842105
0.035634,0.842567
0.035762,0.843029
0.035903,0.843490
0.035922,0.843952
0.036115,0.844414
0.036153,0.844875
0.036227,0.845337
0.036300,0.845799
0.036332,0.846260
0.036440,0.846722
0.036519,0.847184
0.036609,0.847645
0.036610,0.848107
0.036798,0.848569
0.037113,0.849030
0.037220,0.849492
0.037295,0.849954
0.037472,0.850416
0.037491,0.850877
0.037593,0.851339
0.037752,0.851801
0.037757,0.852262
0.037913,0.852724
0.038067,0.853186
0.038100,0.853647
0.038209,0.854109
0.038220,0.854571
0.038281,0.855032
0.038380,0.855494
0.038506,0.855956
0.038661,0.856417
0.038671,0.856879
0.039031,0.857341
0.039068,0.857802
0.039409,0.858264
0.039461,0.858726
0.039488,0.859187
0.039511,0.859649
0.039519,0.860111
0.039547,0.860572
0.039558,0.861034
0.039683,0.861496
0.039714,0.861958
0.039838,0.862419
0.039920,0.862881
0.039930,0.863343
0.039963,0.863804
0.040022,0.864266
0.040097,0.864728
0.040384,0.865189
0.040856,0.865651
0.040981,0.866113
0.041002,0.866574
0.041295,0.867036
0.041365,0.867498
0.041601,0.867959
0.042000,0.868421
0.042259,0.868883
0.042284,0.869344
0.042343,0.869806
0.042363,0.870268
0.042505,0.870729
0.042537,0.871191
0.042568,0.871653
0.042643,0.872114
0.042731,0.872576
0.042737,0.873038
0.042844,0.873500
0.043063,0.873961
0.043344,0.874423
0.043402,0.874885
0.043575,0.875346
0.043600,0.875808
0.043742,0.876270
0.043909,0.876731
0.044403,0.877193
0.044466,0.877655
0.045263,0.878116
0.045837,0.878578
0.046738,0.879040
0.047194,0.879501
0.047282,0.879963
0.047327,0.880425
0.047409,0.880886
0.047524,0.881348
0.047660,0.881810
0.047666,0.882271
